серовато-желтовато-зеленый,#90845b,"144, 132, 91","0, 8, 37, 44"
серовато-желтовато-коричневый,#785840,"120, 88, 64","0, 27, 47, 53"
серовато-желтовато-розовый,#d39b85,"211, 155, 133","0, 27, 37, 17"
серовато-желтый,#cea262,"206, 162, 98","0, 21, 52, 19"
серовато-зеленовато-желтый,#c4a55f,"196, 165, 95","0, 16, 52, 23"
серовато-зеленый,#575e4e,"87, 94, 78","7, 0, 17, 63"
серовато-коричневый,#5a3d30,"90, 61, 48","0, 32, 47, 65"
серовато-красновато-коричневый,#5e3830,"94, 56, 48","0, 40, 49, 63"
серовато-красновато-оранжевый,#b85d43,"184, 93, 67","0, 49, 64, 28"
серовато-красновато-пурпурный,#7d4d5d,"125, 77, 93","0, 38, 26, 51"
серовато-красный,#8c4743,"140, 71, 67","0, 49, 52, 45"
серовато-оливковый,#52442c,"82, 68, 44","0, 17, 46, 68"
серовато-пурпурно-красный,#8c4852,"140, 72, 82","0, 49, 41, 45"
серовато-пурпурно-розовый,#cc9293,"204, 146, 147","0, 28, 28, 20"
серовато-пурпурно-синий,#413d51,"65, 61, 81","20, 25, 0, 68"
серовато-пурпурный,#72525c,"114, 82, 92","0, 28, 19, 55"
серовато-розовый,#cf9b8f,"207, 155, 143","0, 25, 31, 19"
серовато-синий,#4a545c,"74, 84, 92","20, 9, 0, 64"
серый,#808080,"128, 128, 128","0, 0, 0, 50"
сизый,#79a0c1,"121, 160, 193","37, 17, 0, 24"
сине-зеленый,#1f3a3d,"31, 58, 61","49, 5, 0, 76"
сине-лиловый,#8a2be2,"138, 43, 226","39, 81, 0, 11"
сине-серый,#474b4e,"71, 75, 78","9, 4, 0, 69"
сине-сиреневый,#6c4675,"108, 70, 117","8, 40, 0, 54"
синевато-белый,#f9dfcf,"249, 223, 207","0, 10, 17, 2"
синевато-серый,#7d746d,"125, 116, 109","0, 7, 13, 51"
синевато-черный,#151719,"21, 23, 25","16, 8, 0, 90"
синий,#0000ff,"0, 0, 255","100, 100, 0, 0"
сиреневый,#c8a2c8,"200, 162, 200","0, 19, 0, 22"
сланцево-серый,#434750,"67, 71, 80","16, 11, 0, 69"
сливовый,#660066,"102, 0, 102","0, 100, 0, 60"
сливочный,#f2e8c9,"242, 232, 201","0, 4, 17, 5"
темно-бирюзовый,#116062,"17, 96, 98","83, 2, 0, 62"
темно-голубой,#3b83bd,"59, 131, 189","69, 31, 0, 26"
темно-желтый,#b07d2b,"176, 125, 43","0, 29, 76, 31"
темно-зеленый,#013220,"1, 50, 32","98, 0, 36, 80"
темно-каштановый,#986960,"152, 105, 96","0, 31, 37, 40"
темно-коралловый,#cd5b45,"205, 91, 69","0, 56, 66, 20"
темно-коричневый,#654321,"101, 67, 33","0, 34, 67, 60"
темно-лазурный,#08457e,"8, 69, 126","94, 45, 0, 51"
темно-мандариновый,#ffa812,"255, 168, 18","0, 34, 93, 0"
темно-оливковый,#556832,"85, 104, 50","18, 0, 52, 59"
темно-оранжевый,#ff8c00,"255, 140, 0","0, 45, 100, 0"
темно-персиковый,#ffdab9,"255, 218, 185","0, 15, 27, 0"
темно-пурпурный,#472a3f,"71, 42, 63","0, 41, 11, 72"
темно-розовый,#e75480,"231, 84, 128","0, 64, 45, 9"
темно-серый,#49423d,"73, 66, 61","0, 10, 16, 71"
темно-синий,#002137,"0, 33, 55","100, 40, 0, 78"
темно-фиолетовый,#9400d3,"148, 0, 211","30, 100, 0, 17"
томатный,#ff6347,"255, 99, 71","0, 61, 72, 0"
тускло-розовый,#ffe4e1,"255, 228, 225","0, 11, 12, 0"
ультрамариново-синий,#20214f,"32, 33, 79","59, 58, 0, 69"
ультрамариновый,#120a8f,"18, 10, 143","87, 93, 0, 44"
фиалковый,#ea8df7,"234, 141, 247","5, 43, 0, 3"
фиолетово-сизый,#8000ff,"128, 0, 255","50, 100, 0, 0"
фиолетово-синий,#354d73,"53, 77, 115","54, 33, 0, 55"
фиолетово-синий крайола,#324ab2,"50, 74, 178","72, 58, 0, 30"
фиолетовый,#8b00ff,"139, 0, 255","45, 100, 0, 0"
фисташковый,#bef574,"190, 245, 116","22, 0, 53, 4"
хромовый зеленый,#2e3a23,"46, 58, 35","21, 0, 40, 77"
черно-зеленый,#343e40,"52, 62, 64","19, 3, 0, 75"
черно-коричневый,#212121,"33, 33, 33","0, 0, 0, 87"
черно-красный,#412227,"65, 34, 39","0, 48, 40, 75"
черно-оливковый,#3b3c36,"59, 60, 54","2, 0, 10, 76"
черно-серый,#23282b,"35, 40, 43","19, 7, 0, 83"
черно-синий,#18171c,"24, 23, 28","14, 18, 0, 89"
черновато-зеленый,#141613,"20, 22, 19","9, 0, 14, 91"
черновато-красный,#1f0e11,"31, 14, 17","0, 55, 45, 88"
черновато-пурпурный,#1d1018,"29, 16, 24","0, 45, 17, 89"
черновато-синий,#161a1e,"22, 26, 30","27, 13, 0, 88"
черный,#000000,"0, 0, 0","0, 0, 0, 100"
чертополох,#d8bfd8,"216, 191, 216","0, 12, 0, 15"
шафраново-желтый,#f5d033,"245, 208, 51","0, 15, 79, 4"
шафрановый,#f4c430,"244, 196, 48","0, 20, 80, 4"
шоколадно-коричневый,#45322e,"69, 50, 46","0, 28, 33, 73"
шоколадный,#d2691e,"210, 105, 30","0, 50, 86, 18"
ядовито-зеленый,#40826d,"64, 130, 109","51, 0, 16, 49"
янтарный,#ffbf00,"255, 191, 0","0, 25, 100, 0"
яркий желтовато-зеленый,#93aa00,"147, 170, 0","14, 0, 100, 33"
яркий желтовато-розовый,#ff845c,"255, 132, 92","0, 48, 64, 0"
яркий зеленовато-желтый,#f4c800,"244, 200, 0","0, 18, 100, 4"
яркий зеленый,#007d34,"0, 125, 52","100, 0, 58, 51"
яркий красновато-оранжевый,#f13a13,"241, 58, 19","0, 76, 92, 5"
яркий красновато-пурпурный,#7e0059,"126, 0, 89","0, 100, 29, 51"
яркий красный,#c10020,"193, 0, 32","0, 100, 83, 24"
яркий оранжево-желтый,#ff8e00,"255, 142, 0","0, 44, 100, 0"
яркий оранжевый,#ff6800,"255, 104, 0","0, 59, 100, 0"
яркий пурпурно-красный,#d5265b,"213, 38, 91","0, 82, 57, 16"
яркий пурпурный,#943391,"148, 51, 145","0, 66, 2, 42"
яркий синевато-зеленый,#00836e,"0, 131, 110","100, 0, 16, 49"
яркий фиолетовый крайола,#8f509d,"143, 80, 157","9, 49, 0, 38"
ярко-бирюзовый,#08e8de,"8, 232, 222","97, 0, 4, 9"
ярко-желтый,#ffb300,"255, 179, 0","0, 30, 100, 0"
ярко-зеленый,#66ff00,"102, 255, 0","60, 0, 100, 0"
ярко-красно-оранжевый,#f75e25,"247, 94, 37","0, 62, 85, 3"
ярко-мандариновый,#ffa089,"255, 160, 137","0, 37, 46, 0"
ярко-розовый,#fc0fc0,"252, 15, 192","0, 94, 24, 1"
ярко-синий,#007cad,"0, 124, 173","100, 28, 0, 32"
ярко-сиреневый,#e0b0ff ,"224, 176, 255","12, 31, 0, 0"
ярко-фиолетовый,#cd00cd,"205, 0, 205","0, 100, 0, 20"
